Paustralie_1	FX803256.1
Paustralie_532	FX802725.1
Paustralie_533	FX802724.1
Paustralie_534	FX802723.1
Paustralie_535	FX802722.1
Paustralie_536	FX802721.1
Paustralie_537	FX802720.1
Paustralie_538	FX802719.1
Paustralie_539	FX802718.1
Paustralie_540	FX802717.1
Paustralie_541	FX802716.1
Paustralie_542	FX802715.1
Paustralie_543	FX802714.1
Paustralie_544	FX802713.1
Paustralie_545	FX802712.1
Paustralie_546	FX802711.1
Paustralie_547	FX802710.1
Paustralie_548	FX802709.1
Paustralie_549	FX802708.1
Paustralie_550	FX802707.1
Paustralie_551	FX802706.1
Paustralie_552	FX802705.1
Paustralie_553	FX802704.1
Paustralie_554	FX802703.1
Paustralie_555	FX802702.1
Paustralie_556	FX802701.1
Paustralie_557	FX802700.1
Paustralie_558	FX802699.1
Paustralie_559	FX802698.1
Paustralie_560	FX802697.1
Paustralie_561	FX802696.1
Paustralie_562	FX802695.1
Paustralie_563	FX802694.1
Paustralie_564	FX802693.1
Paustralie_565	FX802692.1
Paustralie_566	FX802691.1
Paustralie_567	FX802690.1
Paustralie_568	FX802689.1
Paustralie_569	FX802688.1
Paustralie_570	FX802687.1
Paustralie_571	FX802686.1
Paustralie_572	FX802685.1
Paustralie_573	FX802684.1
Paustralie_574	FX802683.1
Paustralie_575	FX802682.1
Paustralie_576	FX802681.1
Paustralie_577	FX802680.1
Paustralie_578	FX802679.1
Paustralie_579	FX802678.1
Paustralie_580	FX802677.1
Paustralie_581	FX802676.1
Paustralie_582	FX802675.1
Paustralie_583	FX802674.1
Paustralie_584	FX802673.1
Paustralie_585	FX802672.1
Paustralie_586	FX802671.1
Paustralie_587	FX802670.1
Paustralie_588	FX802669.1
Paustralie_589	FX802668.1
Paustralie_590	FX803275.1
Paustralie_591	FX803274.1
Paustralie_592	FX803273.1
Paustralie_593	FX803272.1
Paustralie_594	FX803271.1
Paustralie_595	FX803270.1
Paustralie_596	FX803269.1
Paustralie_597	FX803268.1
Paustralie_598	FX803267.1
Paustralie_599	FX803266.1
Paustralie_600	FX803265.1
Paustralie_601	FX803264.1
Paustralie_602	FX803263.1
Paustralie_603	FX803262.1
Paustralie_604	FX803261.1
Paustralie_605	FX803260.1
Paustralie_606	FX803259.1
Paustralie_607	FX803258.1
Paustralie_608	FX803257.1
Paustralie_609	FX802667.1
Paustralie_610	FX802666.1
Paustralie_611	FX802665.1
Paustralie_612	FX802664.1
Paustralie_613	FX802663.1
Paustralie_614	FX802662.1
Paustralie_615	FX802661.1
Paustralie_616	FX802660.1
Paustralie_617	FX802659.1
Paustralie_618	FX802658.1
Paustralie_619	FX802657.1
Paustralie_620	FX802656.1
Paustralie_621	FX802655.1
Paustralie_622	FX802654.1
Paustralie_623	FX802653.1
Paustralie_624	FX802652.1
Paustralie_625	FX802651.1
Paustralie_626	FX802650.1
Paustralie_627	FX802649.1
Paustralie_628	FX802648.1
Paustralie_629	FX802647.1
Paustralie_630	FX802646.1
Paustralie_631	FX802645.1
Paustralie_632	FX802644.1
Paustralie_633	FX802643.1
Paustralie_634	FX802642.1
Paustralie_635	FX802641.1
Paustralie_636	FX802640.1
Paustralie_637	FX802639.1
Paustralie_638	FX802638.1
Paustralie_639	FX802637.1
Paustralie_640	FX802636.1
Paustralie_641	FX802635.1
Paustralie_642	FX802634.1
Paustralie_643	FX802633.1
Paustralie_644	FX802632.1
Paustralie_645	FX802631.1
Paustralie_646	FX802630.1
Paustralie_647	FX802629.1
Paustralie_648	FX802628.1
Paustralie_649	FX802627.1
Paustralie_650	FX802626.1
Paustralie_651	FX802625.1
Paustralie_652	FX802624.1
Paustralie_653	FX802623.1
Paustralie_654	FX802622.1
Paustralie_655	FX802621.1
Paustralie_656	FX802620.1
Paustralie_657	FX802619.1
Paustralie_658	FX802618.1
Paustralie_659	FX802617.1
Paustralie_660	FX802616.1
Paustralie_661	FX802615.1
Paustralie_662	FX802614.1
Paustralie_663	FX802613.1
Paustralie_664	FX802612.1
Paustralie_665	FX802611.1
Paustralie_666	FX802610.1
Paustralie_667	FX802609.1
Paustralie_668	FX802608.1
Paustralie_669	FX802607.1
Paustralie_670	FX802606.1
Paustralie_671	FX802605.1
Paustralie_672	FX802604.1
Paustralie_673	FX802603.1
Paustralie_674	FX802602.1
Paustralie_675	FX802601.1
Paustralie_676	FX802600.1
Paustralie_677	FX802599.1
Paustralie_678	FX802598.1
Paustralie_679	FX802597.1
Paustralie_680	FX802596.1
Paustralie_681	FX802595.1
Paustralie_682	FX802594.1
Paustralie_683	FX802593.1
Paustralie_684	FX802592.1
Paustralie_685	FX802591.1
Paustralie_686	FX802590.1
Paustralie_687	FX802589.1
Paustralie_688	FX802588.1
Paustralie_689	FX802587.1
Paustralie_690	FX802586.1
Paustralie_691	FX802585.1
Paustralie_692	FX802584.1
Paustralie_693	FX802583.1
Paustralie_694	FX802582.1
Paustralie_695	FX802581.1
Paustralie_696	FX802580.1
Paustralie_697	FX802579.1
Paustralie_698	FX802578.1
Paustralie_699	FX802577.1
Paustralie_700	FX802576.1
Paustralie_701	FX802575.1
Paustralie_702	FX802574.1
Paustralie_703	FX802573.1
Paustralie_704	FX802572.1
Paustralie_705	FX802571.1
Paustralie_706	FX802570.1
Paustralie_707	FX802569.1
Paustralie_708	FX802568.1
Paustralie_709	FX802567.1
Paustralie_710	FX802566.1
Paustralie_711	FX802565.1
Paustralie_712	FX802564.1
Paustralie_713	FX802563.1
Paustralie_714	FX802562.1
Paustralie_715	FX802561.1
Paustralie_716	FX802560.1
Paustralie_717	FX802559.1
Paustralie_718	FX802558.1
Paustralie_719	FX802557.1
Paustralie_720	FX802556.1
Paustralie_721	FX802555.1
Paustralie_722	FX802554.1
Paustralie_723	FX802553.1
Paustralie_724	FX802552.1
Paustralie_725	FX802551.1
Paustralie_726	FX802550.1
Paustralie_727	FX802549.1
Paustralie_728	FX802548.1
Paustralie_729	FX802547.1
Paustralie_730	FX802546.1
Paustralie_731	FX802545.1
Paustralie_732	FX802544.1
Paustralie_733	FX802543.1
Paustralie_734	FX802542.1
Paustralie_735	FX802541.1
Paustralie_736	FX802540.1
Paustralie_737	FX802539.1
Paustralie_738	FX802538.1
Paustralie_739	FX802537.1
Paustralie_740	FX802536.1
Paustralie_741	FX802535.1
Paustralie_742	FX802534.1
Paustralie_743	FX802533.1
Paustralie_744	FX802532.1
Paustralie_745	FX802531.1
Paustralie_746	FX802530.1
Paustralie_747	FX802529.1
Paustralie_748	FX802528.1
Paustralie_749	FX802527.1
Paustralie_750	FX802526.1
Paustralie_751	FX802525.1
Paustralie_752	FX802524.1
Paustralie_753	FX802523.1
Paustralie_754	FX802522.1
Paustralie_755	FX802521.1
Paustralie_756	FX802520.1
Paustralie_757	FX802519.1
Paustralie_758	FX802518.1
Paustralie_759	FX802517.1
Paustralie_760	FX802516.1
Paustralie_761	FX802515.1
Paustralie_762	FX802514.1
Paustralie_763	FX802513.1
Paustralie_764	FX802512.1
Paustralie_765	FX802511.1
Paustralie_766	FX802510.1
Paustralie_767	FX802509.1
Paustralie_768	FX802508.1
Paustralie_769	FX802507.1
Paustralie_770	FX802506.1
Paustralie_771	FX802505.1
Paustralie_772	FX802504.1
Paustralie_773	FX802503.1
Paustralie_774	FX802502.1
Paustralie_775	FX802501.1
Paustralie_776	FX802500.1
Paustralie_777	FX802499.1
Paustralie_778	FX802498.1
Paustralie_779	FX802497.1
Paustralie_780	FX802496.1
Paustralie_781	FX802495.1
Paustralie_782	FX802494.1
Paustralie_783	FX802493.1
Paustralie_784	FX802492.1
Paustralie_785	FX802491.1
Paustralie_786	FX802490.1
Paustralie_787	FX802489.1
Paustralie_788	FX802488.1
Paustralie_789	FX802487.1
Paustralie_790	FX802486.1
Paustralie_791	FX802485.1
Paustralie_792	FX802484.1
Paustralie_793	FX802483.1
Paustralie_794	FX802482.1
Paustralie_795	FX802481.1
Paustralie_796	FX802480.1
Paustralie_797	FX802479.1
Paustralie_798	FX802478.1
Paustralie_799	FX802477.1
Paustralie_800	FX802476.1
Paustralie_801	FX802475.1
Paustralie_802	FX802474.1
Paustralie_803	FX802473.1
Paustralie_804	FX802472.1
Paustralie_805	FX802471.1
Paustralie_806	FX802470.1
Paustralie_807	FX802469.1
Paustralie_808	FX802468.1
Paustralie_809	FX802467.1
Paustralie_810	FX802466.1
Paustralie_811	FX802465.1
Paustralie_812	FX802464.1
Paustralie_813	FX802463.1
Paustralie_814	FX802462.1
Paustralie_815	FX802461.1
Paustralie_816	FX802460.1
Paustralie_817	FX802459.1
Paustralie_818	FX802458.1
Paustralie_819	FX802457.1
Paustralie_820	FX802456.1
Paustralie_821	FX802455.1
Paustralie_822	FX802454.1
Paustralie_823	FX802453.1
Paustralie_824	FX802452.1
Paustralie_825	FX802451.1
Paustralie_826	FX802450.1
Paustralie_827	FX802449.1
Paustralie_828	FX802448.1
Paustralie_829	FX802447.1
Paustralie_830	FX802446.1
Paustralie_831	FX802445.1
Paustralie_832	FX802444.1
Paustralie_833	FX802443.1
Paustralie_834	FX802442.1
Paustralie_835	FX802441.1
Paustralie_836	FX802440.1
Paustralie_837	FX802439.1
Paustralie_838	FX802438.1
Paustralie_839	FX802437.1
Paustralie_840	FX802436.1
Paustralie_841	FX802435.1
Paustralie_842	FX802434.1
Paustralie_843	FX802433.1
Paustralie_844	FX802432.1
Paustralie_845	FX802431.1
Paustralie_846	FX802430.1
Paustralie_847	FX802429.1
Paustralie_848	FX802428.1
Paustralie_849	FX802427.1
Paustralie_850	FX802426.1
Paustralie_851	FX802425.1
Paustralie_852	FX802424.1
Paustralie_853	FX802423.1
Paustralie_854	FX802422.1
Paustralie_855	FX802421.1
Paustralie_856	FX802420.1
Paustralie_857	FX802419.1
Paustralie_858	FX802418.1
Paustralie_859	FX802417.1
Paustralie_860	FX802416.1
Paustralie_861	FX802415.1
Paustralie_862	FX802414.1
Paustralie_863	FX802413.1
Paustralie_864	FX802412.1
Paustralie_865	FX802411.1
Paustralie_866	FX802410.1
Paustralie_867	FX802409.1
Paustralie_868	FX802408.1
Paustralie_869	FX802407.1
Paustralie_870	FX802406.1
Paustralie_871	FX802405.1
Paustralie_872	FX802404.1
Paustralie_873	FX802403.1
Paustralie_874	FX802402.1
Paustralie_875	FX802401.1
Paustralie_876	FX802400.1
Paustralie_877	FX802399.1
Paustralie_878	FX802398.1
Paustralie_879	FX802397.1
Paustralie_880	FX802396.1
Paustralie_881	FX802395.1
Paustralie_882	FX802394.1
Paustralie_883	FX802393.1
Paustralie_884	FX802392.1
Paustralie_885	FX802391.1
Paustralie_886	FX802390.1
Paustralie_887	FX802389.1
Paustralie_888	FX802388.1
Paustralie_889	FX802387.1
Paustralie_890	FX802386.1
Paustralie_891	FX802385.1
Paustralie_892	FX802384.1
Paustralie_893	FX802383.1
Paustralie_894	FX802382.1
Paustralie_895	FX802381.1
Paustralie_896	FX802380.1
Paustralie_897	FX802379.1
Paustralie_898	FX802378.1
Paustralie_899	FX802377.1
Paustralie_900	FX802376.1
Paustralie_901	FX802375.1
Paustralie_902	FX802374.1
Paustralie_903	FX802373.1
Paustralie_904	FX802372.1
Paustralie_905	FX802371.1
Paustralie_906	FX802370.1
Paustralie_907	FX802369.1
Paustralie_908	FX802368.1
Paustralie_909	FX802367.1
Paustralie_910	FX802366.1
Paustralie_911	FX802365.1
Paustralie_912	FX802364.1
Paustralie_913	FX802363.1
Paustralie_914	FX802362.1
Paustralie_915	FX802361.1
Paustralie_916	FX802360.1
Paustralie_917	FX802359.1
Paustralie_918	FX802358.1
Paustralie_919	FX802357.1
Paustralie_920	FX802356.1
Paustralie_921	FX802355.1
Paustralie_922	FX802354.1
Paustralie_923	FX802353.1
Paustralie_924	FX802352.1
Paustralie_925	FX802351.1
Paustralie_926	FX802350.1
Paustralie_927	FX802349.1
Paustralie_928	FX802348.1
Paustralie_929	FX802347.1
Paustralie_930	FX802346.1
Paustralie_931	FX802345.1
Paustralie_932	FX802344.1
